Mall Name,LATITUDE,LONGITUDE
Tanjong Pagar Centre,1.2755961982077,103.842393171342
Tekka Centre,1.30671098278725,103.85013440636
The Adelphi,1.29118503658447,103.851184338699
The Paragon,1.30387230879994,103.835857545469
Tiong Bahru Plaza,1.28645889472825,103.827015256194
The Poiz,1.33202729656296,103.868659488195
Thomson Plaza,1.35436282723449,103.83030941613
United Square,1.31719450988559,103.843611443038
Thomson V,1.35319495337208,103.835564729862
Velocity@Novena Square,1.31978949204523,103.844033569199
Wheelock Place,1.30467628730252,103.830642027577
Wisma Atria,1.30370477426147,103.833205752808
Zhongshan Mall,1.32694504484324,103.846554377679
Bedok Mall,1.32475054237912,103.92918919889
Century Square,1.35227804040128,103.943727694121
Our Tampines Hub,1.35218046898785,103.940598001519
Changi City Point,1.33408363820793,103.962946043413
Downtown East,1.3765903645695,103.955689449482
Djitsun Mall Bedok,1.32611970329469,103.929554495615
Eastpoint Mall,1.34270592355576,103.953024618234
Jewel Changi Airport,1.36006289399606,103.989989170512
Katong Shopping Centre,1.30382040183737,103.901040040407
Katong Square,1.30477683917233,103.904617722414
Kallang Wave Mall,1.30307515150401,103.873149707591
Leisure Park Kallang,1.30222177381282,103.876152665088
i12 Katong,1.30522306203042,103.905043928938
Parkway Parade,1.30106975506311,103.905279491524
Paya Lebar Square,1.31881486980278,103.892580778242
Roxy Square,1.30432599904899,103.904051120306
Singpost Centre,1.31899666903663,103.894894915962
Tampines 1,1.34633535808984,103.933979581362
Tampines Mall,1.35259361362837,103.944785968039
White Sands,1.37228761596577,103.949733905672
City Plaza,1.31470866320366,103.893508573389
Elias Mall,1.37790533095468,103.94233582068
Loyang Point,1.36706634197242,103.964635610477
888 Plaza,1.43711856085535,103.795316064775
Admiralty Place,1.44042008562425,103.801541769047
AMK Hub,1.36925511350953,103.848464053097
Canberra Plaza,1.44349544527985,103.830345369213
Causeway Point,1.43590007901468,103.785795816344
Woodlands Civic Centre,1.43515024446739,103.786816106255
Broadway Plaza,1.37193729131781,103.845949444498
Djitsun Mall,1.32611970329469,103.929554495615
Jubilee Square,1.37178558575829,103.847837565378
Junction 8,1.35017243180201,103.848553703258
Junction Nine,1.4331228398318,103.84166098599
Marsiling Mall,1.43354318137534,103.77988189197
Northpoint City,1.42822560922688,103.836419992398
Sembawang Shopping Centre,1.44185325264629,103.824832415833
Sun Plaza,1.44823113453257,103.819523749458
Vista Point,1.4308011390122,103.794104795966
Wisteria Mall,1.41798969122298,103.841317292608
Woodlands Mart,1.44564787003157,103.798162285805
Woodlands North Plaza,1.44275334327795,103.790548015512
Waterway Point,1.40637933605759,103.902172248289
Compass One,1.39205314156706,103.89507054384
Hougang Mall,1.37248308734511,103.893788141349
Heartland Mall,1.35954450890401,103.885169070198
NEX,1.35076935257845,103.872296143862
Buangkok Square,1.38433426615655,103.881623070164
Greenwich V,1.38739539397015,103.869135978173
Hougang 1,1.35664284566921,103.889828868222
Hougang Green Shopping Mall,1.37931783499145,103.88784708944
Hougang Rivercourt,1.36220591877146,103.894742116488
myVillage At Serangoon Garden,1.36511490572797,103.865159501442
Northshore Plaza,1.41676127156324,103.902074379502
Oasis Terraces,1.40278015725693,103.913215101343
Punggol Plaza,1.39423719717117,103.913047323223
Rivervale Mall,1.39219777838449,103.904471600025
Rivervale Plaza,1.38550420775531,103.901988424927
The Seletar Mall,1.39147015374628,103.876125507257
Upper Serangoon Shopping Centre,1.35348082277147,103.878828134896
Beauty World Centre,1.34241264188642,103.776539385406
Beauty World Plaza,1.34180018619223,103.776259359854
Bukit Panjang Plaza,1.37988291404114,103.764377765935
Bukit Timah Plaza,1.3386316527745,103.778585430975
Fajar Shopping Centre,1.38357469942896,103.770868459633
Greenridge Shopping Centre,1.38540569283271,103.766228468185
Hillion Mall,1.37841165144214,103.76382945872
HillV2,1.36267450828024,103.76417292006
Junction 10,1.38055127973087,103.760106974822
Keat Hong Shopping Centre,1.37736607441394,103.744393648768
Limbang Shopping Centre,1.3920738867617,103.743099573442
Lot One,1.38506992325619,103.745238868238
Rail Mall,1.35773050150178,103.768137724847
Sunshine Place,1.37789727709418,103.739015486021
Teck Whye Shopping Centre,1.38004752975397,103.752483841199
West Mall,1.35037541626109,103.74912389291
Yew Tee Point,1.39705741516141,103.746662121143
Yew Tee Square,1.39836942665376,103.747188486453
321 Clementi,1.31200212030821,103.764986676365
The Clementi Mall,1.31489619639366,103.764423054189
IMM,1.33487526118006,103.746894773008
JCube,1.33332312550425,103.740187071348
Jem,1.33305999269581,103.743503708169
Westgate,1.33415767556867,103.742766484424
Jurong Point,1.3394520043632,103.706685012926
Pioneer Mall,1.34169239214292,103.697174842118
The Star Vista,1.30681500712523,103.788462732266
Alexandra Central,1.28728320930592,103.805283367958
Anchorpoint,1.28893477974497,103.805607779399
Boon Lay Shopping Centre,1.34637376407877,103.712472819666
Grantral Mall,1.31427043922294,103.765147487482
Fairprice Hub,1.35349593581988,103.940139392679
Gek Poh Shopping Centre,1.3487416466288,103.697739629738
Rochester Mall,1.30540765569962,103.788446680148
Taman Jurong Shopping Centre,1.33484487471259,103.720462024278
West Coast Plaza,1.30358622534992,103.76610375397
Queensway Shopping Centre,1.2876179255874,103.803391140455
